,model_train,train_predict,validate_predict,C,difference
0,LogisticRegression,0.9058144118574583,0.9058144118574583,the_c,0.0
1,LogisticRegression,0.905576579417639,0.9054123304951119,0.01,0.00016424892252708823
2,LogisticRegression,0.9053203510984968,0.9051166824345632,0.1,0.00020366866393362049
6,LogisticRegression,0.9052415116156838,0.9049984232103437,1000,0.00024308840534004172
4,LogisticRegression,0.9052480815725849,0.9049984232103437,10,0.00024965836224111193
5,LogisticRegression,0.9052480815725849,0.9049984232103437,100,0.00024965836224111193
3,LogisticRegression,0.9052677914432882,0.9049787133396405,1,0.0002890781036476442
