,model_train,train_predict,validate_predict,max_depth,difference
0,DecisionTreeClassifier,0.6402612152186258,0.6402612152186258,max_depth,0.0
1,DecisionTreeClassifier,0.905813097866078,0.9058262377798801,1,1.3139913802140413e-05
2,DecisionTreeClassifier,0.905813097866078,0.9058262377798801,2,1.3139913802140413e-05
3,DecisionTreeClassifier,0.905813097866078,0.9058262377798801,3,1.3139913802140413e-05
4,DecisionTreeClassifier,0.905813097866078,0.9058262377798801,4,1.3139913802140413e-05
5,DecisionTreeClassifier,0.905813097866078,0.9058262377798801,5,1.3139913802140413e-05
6,DecisionTreeClassifier,0.9058722274781877,0.9057671081677704,6,0.00010511931041734535
7,DecisionTreeClassifier,0.9060758961421214,0.905175812046673,7,0.0009000840954483946
8,DecisionTreeClassifier,0.906529223168296,0.9051363923052664,8,0.0013928308630295483
9,DecisionTreeClassifier,0.9073898875223378,0.9039932198044781,9,0.003396667717859736
10,DecisionTreeClassifier,0.9088352780405761,0.902712078208767,10,0.00612319983180909
11,DecisionTreeClassifier,0.9107077157573846,0.9010958688111006,11,0.00961184694628403
12,DecisionTreeClassifier,0.9133488384316198,0.89969646799117,12,0.013652370440449868
13,DecisionTreeClassifier,0.9167586460632818,0.8967202775149795,13,0.02003836854830232
14,DecisionTreeClassifier,0.920109324082834,0.8954982655313781,14,0.024611058551455844
15,DecisionTreeClassifier,0.9240907179648902,0.8928374329864396,15,0.03125328497845059
16,DecisionTreeClassifier,0.9281969410280668,0.8896247240618101,16,0.03857221696625668
17,DecisionTreeClassifier,0.9323163040050457,0.8873975086723431,17,0.0449187953327026
18,DecisionTreeClassifier,0.9363042678440029,0.8842242194891201,18,0.05208004835488278
19,DecisionTreeClassifier,0.9400228634500157,0.883258435824661,19,0.05676442762535472
20,DecisionTreeClassifier,0.9432947019867549,0.880479344055503,20,0.06281535793125193
